pre_depth;post_depth;offset;action;timestamp;operation;pid;size
0;1;142606336;D;0.000000000;OP_READ;17091;16384
1;0;142606336;C;0.000212290;OP_READ;0;16384
0;1;142622720;D;0.000252651;OP_READ;17091;32768
1;2;142655488;D;0.000297220;OP_READ;17091;65536
2;1;142622720;C;0.000532275;OP_READ;0;32768
1;0;142655488;C;0.000625270;OP_READ;17091;65536
0;1;142721024;D;0.000845618;OP_READ;17091;131072
1;2;142852096;D;0.001037245;OP_READ;17091;131072
2;1;142721024;C;0.001290692;OP_READ;0;131072
1;2;142983168;D;0.001675948;OP_READ;17091;131072
2;1;142852096;C;0.001709087;OP_READ;0;131072
1;2;143114240;D;0.002073886;OP_READ;17091;131072
2;1;142983168;C;0.002209559;OP_READ;0;131072
1;2;143245312;D;0.002594599;OP_READ;17091;131072
2;1;143114240;C;0.002635285;OP_READ;0;131072
1;2;143376384;D;0.003002118;OP_READ;17091;131072
2;1;143245312;C;0.003029020;OP_READ;0;131072
1;2;143507456;D;0.003408759;OP_READ;17091;131072
2;1;143376384;C;0.003430614;OP_READ;0;131072
1;2;143638528;D;0.003795716;OP_READ;17091;131072
2;1;143507456;C;0.003856300;OP_READ;0;131072
1;0;143638528;C;0.004155277;OP_READ;17091;131072
0;1;143769600;D;0.004227999;OP_READ;17091;131072
1;0;143769600;C;0.004507744;OP_READ;17091;131072
0;1;143900672;D;0.004592579;OP_READ;17091;131072
1;0;143900672;C;0.004873101;OP_READ;17091;131072
0;1;144031744;D;0.004956408;OP_READ;17091;131072
1;0;144031744;C;0.005234965;OP_READ;17091;131072
0;1;144162816;D;0.005318467;OP_READ;17091;131072
1;0;144162816;C;0.005598178;OP_READ;17091;131072
0;1;144293888;D;0.005682010;OP_READ;17091;131072
1;0;144293888;C;0.005962156;OP_READ;17091;131072
0;1;144424960;D;0.006045956;OP_READ;17091;131072
1;2;144556032;D;0.006402010;OP_READ;17091;131072
2;1;144424960;C;0.006466637;OP_READ;0;131072
1;0;144556032;C;0.006749278;OP_READ;17091;131072
0;1;144687104;D;0.006836486;OP_READ;17091;131072
1;0;144687104;C;0.007116008;OP_READ;17091;131072
0;1;144818176;D;0.007201039;OP_READ;17091;131072
1;0;144818176;C;0.007480472;OP_READ;17091;131072
0;1;144949248;D;0.007645092;OP_READ;17091;131072
1;0;144949248;C;0.007927863;OP_READ;17091;131072
0;1;145080320;D;0.008023344;OP_READ;17091;131072
1;0;145080320;C;0.008304305;OP_READ;17091;131072
0;1;145211392;D;0.008392186;OP_READ;17091;131072
1;0;145211392;C;0.008673734;OP_READ;17091;131072
0;1;145342464;D;0.008757328;OP_READ;17091;131072
1;0;145342464;C;0.009036523;OP_READ;17091;131072
0;1;145473536;D;0.009119973;OP_READ;17091;131072
1;0;145473536;C;0.009398831;OP_READ;17091;131072
0;1;145604608;D;0.009482324;OP_READ;17091;131072
1;0;145604608;C;0.009762682;OP_READ;17091;131072
0;1;145735680;D;0.009844525;OP_READ;17091;131072
1;0;145735680;C;0.010125074;OP_READ;17091;131072
0;1;145866752;D;0.010215996;OP_READ;17091;131072
1;0;145866752;C;0.010496981;OP_READ;17091;131072
0;1;145997824;D;0.010830626;OP_READ;17091;131072
1;0;145997824;C;0.011113990;OP_READ;17091;131072
0;1;146128896;D;0.011214353;OP_READ;17091;131072
1;0;146128896;C;0.011494538;OP_READ;17091;131072
0;1;146259968;D;0.011585236;OP_READ;17091;131072
1;0;146259968;C;0.011867394;OP_READ;17091;131072
0;1;146391040;D;0.011948941;OP_READ;17091;131072
1;0;146391040;C;0.012228136;OP_READ;17091;131072
0;1;146522112;D;0.012312076;OP_READ;17091;131072
1;0;146522112;C;0.012590494;OP_READ;17091;131072
0;1;146653184;D;0.012674006;OP_READ;17091;131072
1;0;146653184;C;0.012957231;OP_READ;17091;131072
0;1;146784256;D;0.013035466;OP_READ;17091;131072
1;0;146784256;C;0.013313984;OP_READ;17091;131072
0;1;146915328;D;0.013414346;OP_READ;17091;131072
1;0;146915328;C;0.013694862;OP_READ;17091;131072
0;1;147046400;D;0.013775768;OP_READ;17091;131072
1;0;147046400;C;0.014055095;OP_READ;17091;131072
0;1;147177472;D;0.014136085;OP_READ;17091;131072
1;0;147177472;C;0.014414449;OP_READ;17091;131072
0;1;147308544;D;0.014496834;OP_READ;17091;131072
1;0;147308544;C;0.014776985;OP_READ;17091;131072
0;1;147439616;D;0.014857059;OP_READ;17091;131072
1;0;147439616;C;0.015137000;OP_READ;17091;131072
0;1;147570688;D;0.015219453;OP_READ;17091;131072
1;0;147570688;C;0.015499177;OP_READ;17091;131072
0;1;147701760;D;0.015670034;OP_READ;17091;131072
1;0;147701760;C;0.015952029;OP_READ;17091;131072
0;1;147832832;D;0.016031623;OP_READ;17091;131072
1;0;147832832;C;0.016313251;OP_READ;17091;131072
0;1;147963904;D;0.016391757;OP_READ;17091;131072
1;0;147963904;C;0.016673955;OP_READ;17091;131072
0;1;148094976;D;0.016753056;OP_READ;17091;131072
1;0;148094976;C;0.017032807;OP_READ;17091;131072
0;1;148226048;D;0.017113885;OP_READ;17091;131072
1;0;148226048;C;0.017392461;OP_READ;17091;131072
0;1;148357120;D;0.017474009;OP_READ;17091;131072
1;0;148357120;C;0.017755447;OP_READ;17091;131072
0;1;148488192;D;0.017833681;OP_READ;17091;131072
1;0;148488192;C;0.018114491;OP_READ;17091;131072
0;1;148619264;D;0.018193156;OP_READ;17091;131072
1;0;148619264;C;0.018472105;OP_READ;17091;131072
0;1;148750336;D;0.018553345;OP_READ;17091;131072
1;0;148750336;C;0.018835464;OP_READ;17091;131072
0;1;148881408;D;0.018913164;OP_READ;17091;131072
1;0;148881408;C;0.019194024;OP_READ;17091;131072
0;1;149012480;D;0.019273490;OP_READ;17091;131072
1;0;149012480;C;0.019551744;OP_READ;17091;131072
0;1;149143552;D;0.019643188;OP_READ;17091;131072
1;0;149143552;C;0.019925273;OP_READ;17091;131072
0;1;149274624;D;0.020004174;OP_READ;17091;131072
1;0;149274624;C;0.020284362;OP_READ;17091;131072
0;1;149405696;D;0.020363979;OP_READ;17091;131072
1;0;149405696;C;0.020645146;OP_READ;17091;131072
0;1;149536768;D;0.020724505;OP_READ;17091;131072
1;0;149536768;C;0.021005172;OP_READ;17091;131072
0;1;149667840;D;0.021085045;OP_READ;17091;131072
1;0;149667840;C;0.021363730;OP_READ;17091;131072
0;1;149798912;D;0.021446611;OP_READ;17091;131072
1;0;149798912;C;0.021729046;OP_READ;17091;131072
0;1;149929984;D;0.021807804;OP_READ;17091;131072
1;0;149929984;C;0.022088338;OP_READ;17091;131072
0;1;150061056;D;0.022168614;OP_READ;17091;131072
1;0;150061056;C;0.022447401;OP_READ;17091;131072
0;1;150192128;D;0.022528981;OP_READ;17091;131072
1;0;150192128;C;0.022810682;OP_READ;17091;131072
0;1;150323200;D;0.022889114;OP_READ;17091;131072
1;0;150323200;C;0.023169357;OP_READ;17091;131072
0;1;150454272;D;0.023248709;OP_READ;17091;131072
1;0;150454272;C;0.023528101;OP_READ;17091;131072
0;1;150585344;D;0.023629338;OP_READ;17091;131072
1;0;150585344;C;0.023912056;OP_READ;17091;131072
0;1;150716416;D;0.023989845;OP_READ;17091;131072
1;0;150716416;C;0.024270198;OP_READ;17091;131072
0;1;150847488;D;0.024348356;OP_READ;17091;131072
1;0;150847488;C;0.024629214;OP_READ;17091;131072
0;1;150978560;D;0.024706711;OP_READ;17091;131072
1;0;150978560;C;0.024986092;OP_READ;17091;131072
0;1;151109632;D;0.025065642;OP_READ;17091;131072
1;0;151109632;C;0.025343285;OP_READ;17091;131072
0;1;151240704;D;0.025423776;OP_READ;17091;131072
1;0;151240704;C;0.025703856;OP_READ;17091;131072
0;1;151371776;D;0.025782449;OP_READ;17091;131072
1;0;151371776;C;0.026061146;OP_READ;17091;131072
0;1;151502848;D;0.026140761;OP_READ;17091;131072
1;0;151502848;C;0.026418781;OP_READ;17091;131072
0;1;151633920;D;0.026499119;OP_READ;17091;131072
1;0;151633920;C;0.026779623;OP_READ;17091;131072
0;1;151764992;D;0.026856530;OP_READ;17091;131072
