lpn;sem
0;superblock
1;superblock
2;groupdesc
3;groupdesc
4;reserved-gdt
5;reserved-gdt
6;reserved-gdt
7;reserved-gdt
8;reserved-gdt
9;reserved-gdt
10;reserved-gdt
11;reserved-gdt
12;reserved-gdt
13;reserved-gdt
14;reserved-gdt
15;reserved-gdt
16;reserved-gdt
17;reserved-gdt
18;reserved-gdt
19;reserved-gdt
20;reserved-gdt
21;reserved-gdt
22;reserved-gdt
23;reserved-gdt
24;reserved-gdt
25;reserved-gdt
26;reserved-gdt
27;reserved-gdt
28;reserved-gdt
29;reserved-gdt
30;reserved-gdt
31;reserved-gdt
32;reserved-gdt
33;reserved-gdt
34;reserved-gdt
35;reserved-gdt
36;reserved-gdt
37;reserved-gdt
38;reserved-gdt
39;reserved-gdt
40;reserved-gdt
41;reserved-gdt
42;reserved-gdt
43;reserved-gdt
44;reserved-gdt
45;reserved-gdt
46;reserved-gdt
47;reserved-gdt
48;reserved-gdt
49;reserved-gdt
50;reserved-gdt
51;reserved-gdt
52;reserved-gdt
53;reserved-gdt
54;reserved-gdt
55;reserved-gdt
56;reserved-gdt
57;reserved-gdt
58;reserved-gdt
59;reserved-gdt
60;reserved-gdt
61;reserved-gdt
62;reserved-gdt
63;reserved-gdt
64;reserved-gdt
65;reserved-gdt
66;reserved-gdt
67;reserved-gdt
68;reserved-gdt
69;reserved-gdt
70;reserved-gdt
71;reserved-gdt
72;reserved-gdt
73;reserved-gdt
74;reserved-gdt
75;reserved-gdt
76;reserved-gdt
77;reserved-gdt
78;reserved-gdt
79;reserved-gdt
80;reserved-gdt
81;reserved-gdt
82;reserved-gdt
83;reserved-gdt
84;reserved-gdt
85;reserved-gdt
86;reserved-gdt
87;reserved-gdt
88;reserved-gdt
89;reserved-gdt
90;reserved-gdt
91;reserved-gdt
92;reserved-gdt
93;reserved-gdt
94;reserved-gdt
95;reserved-gdt
96;reserved-gdt
97;reserved-gdt
98;reserved-gdt
99;reserved-gdt
100;reserved-gdt
101;reserved-gdt
102;reserved-gdt
103;reserved-gdt
104;reserved-gdt
105;reserved-gdt
106;reserved-gdt
107;reserved-gdt
108;reserved-gdt
109;reserved-gdt
110;reserved-gdt
111;reserved-gdt
112;reserved-gdt
113;reserved-gdt
114;reserved-gdt
115;reserved-gdt
116;reserved-gdt
117;reserved-gdt
118;reserved-gdt
119;reserved-gdt
120;reserved-gdt
121;reserved-gdt
122;reserved-gdt
123;reserved-gdt
124;reserved-gdt
125;reserved-gdt
126;reserved-gdt
127;reserved-gdt
128;reserved-gdt
129;reserved-gdt
130;block-bitmap
131;block-bitmap
132;block-bitmap
133;block-bitmap
134;block-bitmap
135;block-bitmap
136;block-bitmap
137;block-bitmap
138;block-bitmap
139;block-bitmap
140;block-bitmap
141;block-bitmap
142;block-bitmap
143;block-bitmap
144;block-bitmap
145;block-bitmap
146;UNKNOWN
147;UNKNOWN
148;UNKNOWN
149;UNKNOWN
150;UNKNOWN
151;UNKNOWN
152;UNKNOWN
153;UNKNOWN
154;UNKNOWN
155;UNKNOWN
156;UNKNOWN
157;UNKNOWN
158;UNKNOWN
159;UNKNOWN
160;UNKNOWN
161;UNKNOWN
162;inode-bitmap
163;inode-bitmap
164;inode-bitmap
165;inode-bitmap
166;inode-bitmap
167;inode-bitmap
168;inode-bitmap
169;inode-bitmap
170;inode-bitmap
171;inode-bitmap
172;inode-bitmap
173;inode-bitmap
174;inode-bitmap
175;inode-bitmap
176;inode-bitmap
177;inode-bitmap
178;UNKNOWN
179;UNKNOWN
180;UNKNOWN
181;UNKNOWN
182;UNKNOWN
183;UNKNOWN
184;UNKNOWN
185;UNKNOWN
186;UNKNOWN
187;UNKNOWN
188;UNKNOWN
189;UNKNOWN
190;UNKNOWN
191;UNKNOWN
192;UNKNOWN
193;UNKNOWN
194;inode-table
195;inode-table
196;inode-table
197;inode-table
198;inode-table
199;inode-table
200;inode-table
201;inode-table
202;inode-table
203;inode-table
204;inode-table
205;inode-table
206;inode-table
207;inode-table
208;inode-table
209;inode-table
210;inode-table
211;inode-table
212;inode-table
213;inode-table
214;inode-table
215;inode-table
216;inode-table
217;inode-table
218;inode-table
219;inode-table
220;inode-table
221;inode-table
222;inode-table
223;inode-table
224;inode-table
225;inode-table
226;inode-table
227;inode-table
228;inode-table
229;inode-table
230;inode-table
231;inode-table
232;inode-table
233;inode-table
234;inode-table
235;inode-table
236;inode-table
237;inode-table
238;inode-table
239;inode-table
240;inode-table
241;inode-table
242;inode-table
243;inode-table
244;inode-table
245;inode-table
246;inode-table
247;inode-table
248;inode-table
249;inode-table
250;inode-table
251;inode-table
252;inode-table
253;inode-table
254;inode-table
255;inode-table
256;inode-table
257;inode-table
258;inode-table
259;inode-table
260;inode-table
261;inode-table
262;inode-table
263;inode-table
264;inode-table
265;inode-table
266;inode-table
267;inode-table
268;inode-table
269;inode-table
270;inode-table
271;inode-table
272;inode-table
273;inode-table
274;inode-table
275;inode-table
276;inode-table
277;inode-table
278;inode-table
279;inode-table
280;inode-table
281;inode-table
282;inode-table
283;inode-table
284;inode-table
285;inode-table
286;inode-table
287;inode-table
288;inode-table
289;inode-table
290;inode-table
291;inode-table
292;inode-table
293;inode-table
294;inode-table
295;inode-table
296;inode-table
297;inode-table
298;inode-table
299;inode-table
300;inode-table
301;inode-table
302;inode-table
303;inode-table
304;inode-table
305;inode-table
306;inode-table
307;inode-table
308;inode-table
309;inode-table
310;inode-table
311;inode-table
312;inode-table
313;inode-table
314;inode-table
315;inode-table
316;inode-table
317;inode-table
318;inode-table
319;inode-table
320;inode-table
321;inode-table
322;inode-table
323;inode-table
324;inode-table
325;inode-table
326;inode-table
327;inode-table
328;inode-table
329;inode-table
330;inode-table
331;inode-table
332;inode-table
333;inode-table
334;inode-table
335;inode-table
336;inode-table
337;inode-table
338;inode-table
339;inode-table
340;inode-table
341;inode-table
342;inode-table
343;inode-table
344;inode-table
345;inode-table
346;inode-table
347;inode-table
348;inode-table
349;inode-table
350;inode-table
351;inode-table
352;inode-table
353;inode-table
354;inode-table
355;inode-table
356;inode-table
357;inode-table
358;inode-table
359;inode-table
360;inode-table
361;inode-table
362;inode-table
363;inode-table
364;inode-table
365;inode-table
366;inode-table
367;inode-table
368;inode-table
369;inode-table
370;inode-table
371;inode-table
372;inode-table
373;inode-table
374;inode-table
375;inode-table
376;inode-table
377;inode-table
378;inode-table
379;inode-table
380;inode-table
381;inode-table
382;inode-table
383;inode-table
384;inode-table
385;inode-table
386;inode-table
387;inode-table
388;inode-table
389;inode-table
390;inode-table
391;inode-table
392;inode-table
393;inode-table
394;inode-table
395;inode-table
396;inode-table
397;inode-table
398;inode-table
399;inode-table
400;inode-table
401;inode-table
402;inode-table
403;inode-table
404;inode-table
405;inode-table
406;inode-table
407;inode-table
408;inode-table
409;inode-table
410;inode-table
411;inode-table
412;inode-table
413;inode-table
414;inode-table
415;inode-table
416;inode-table
417;inode-table
418;inode-table
419;inode-table
420;inode-table
421;inode-table
422;inode-table
423;inode-table
424;inode-table
425;inode-table
426;inode-table
427;inode-table
428;inode-table
429;inode-table
430;inode-table
431;inode-table
432;inode-table
433;inode-table
434;inode-table
435;inode-table
436;inode-table
437;inode-table
438;inode-table
439;inode-table
440;inode-table
441;inode-table
442;inode-table
443;inode-table
444;inode-table
445;inode-table
446;inode-table
447;inode-table
448;inode-table
449;inode-table
450;inode-table
451;inode-table
452;inode-table
453;inode-table
454;inode-table
455;inode-table
456;inode-table
457;inode-table
458;inode-table
459;inode-table
460;inode-table
461;inode-table
462;inode-table
463;inode-table
464;inode-table
465;inode-table
466;inode-table
467;inode-table
468;inode-table
469;inode-table
470;inode-table
471;inode-table
472;inode-table
473;inode-table
474;inode-table
475;inode-table
476;inode-table
477;inode-table
478;inode-table
479;inode-table
480;inode-table
481;inode-table
482;inode-table
483;inode-table
484;inode-table
485;inode-table
486;inode-table
487;inode-table
488;inode-table
489;inode-table
490;inode-table
491;inode-table
492;inode-table
493;inode-table
494;inode-table
495;inode-table
496;inode-table
497;inode-table
498;inode-table
499;inode-table
500;inode-table
501;inode-table
502;inode-table
503;inode-table
504;inode-table
505;inode-table
506;inode-table
507;inode-table
508;inode-table
509;inode-table
510;inode-table
511;inode-table
512;inode-table
513;inode-table
514;inode-table
515;inode-table
516;inode-table
517;inode-table
518;inode-table
519;inode-table
520;inode-table
521;inode-table
522;inode-table
523;inode-table
524;inode-table
525;inode-table
526;inode-table
527;inode-table
528;inode-table
529;inode-table
530;inode-table
531;inode-table
532;inode-table
533;inode-table
534;inode-table
535;inode-table
536;inode-table
537;inode-table
538;inode-table
539;inode-table
540;inode-table
541;inode-table
542;inode-table
543;inode-table
544;inode-table
545;inode-table
546;inode-table
547;inode-table
548;inode-table
549;inode-table
550;inode-table
551;inode-table
552;inode-table
553;inode-table
554;inode-table
555;inode-table
556;inode-table
557;inode-table
558;inode-table
559;inode-table
560;inode-table
561;inode-table
562;inode-table
563;inode-table
564;inode-table
565;inode-table
566;inode-table
567;inode-table
568;inode-table
569;inode-table
570;inode-table
571;inode-table
572;inode-table
573;inode-table
574;inode-table
575;inode-table
576;inode-table
577;inode-table
578;inode-table
579;inode-table
580;inode-table
581;inode-table
582;inode-table
583;inode-table
584;inode-table
585;inode-table
586;inode-table
587;inode-table
588;inode-table
589;inode-table
590;inode-table
591;inode-table
592;inode-table
593;inode-table
594;inode-table
595;inode-table
596;inode-table
597;inode-table
598;inode-table
599;inode-table
600;inode-table
601;inode-table
602;inode-table
603;inode-table
604;inode-table
605;inode-table
606;inode-table
607;inode-table
608;inode-table
609;inode-table
610;inode-table
611;inode-table
612;inode-table
613;inode-table
614;inode-table
615;inode-table
616;inode-table
617;inode-table
618;inode-table
619;inode-table
620;inode-table
621;inode-table
622;inode-table
623;inode-table
624;inode-table
625;inode-table
626;inode-table
627;inode-table
628;inode-table
629;inode-table
630;inode-table
631;inode-table
632;inode-table
633;inode-table
634;inode-table
635;inode-table
636;inode-table
637;inode-table
638;inode-table
639;inode-table
640;inode-table
641;inode-table
642;inode-table
643;inode-table
644;inode-table
645;inode-table
646;inode-table
647;inode-table
648;inode-table
649;inode-table
650;inode-table
651;inode-table
652;inode-table
653;inode-table
654;inode-table
655;inode-table
656;inode-table
657;inode-table
658;inode-table
659;inode-table
660;inode-table
661;inode-table
662;inode-table
663;inode-table
664;inode-table
665;inode-table
666;inode-table
667;inode-table
668;inode-table
669;inode-table
670;inode-table
671;inode-table
672;inode-table
673;inode-table
674;inode-table
675;inode-table
676;inode-table
677;inode-table
678;inode-table
679;inode-table
680;inode-table
681;inode-table
682;inode-table
683;inode-table
684;inode-table
685;inode-table
686;inode-table
687;inode-table
688;inode-table
689;inode-table
690;inode-table
691;inode-table
692;inode-table
693;inode-table
694;inode-table
695;inode-table
696;inode-table
697;inode-table
698;inode-table
699;inode-table
700;inode-table
701;inode-table
702;inode-table
703;inode-table
704;inode-table
705;inode-table
706;inode-table
707;inode-table
708;inode-table
709;inode-table
710;inode-table
711;inode-table
712;inode-table
713;inode-table
714;inode-table
715;inode-table
716;inode-table
717;inode-table
718;inode-table
719;inode-table
720;inode-table
721;inode-table
722;inode-table
723;inode-table
724;inode-table
725;inode-table
726;inode-table
727;inode-table
728;inode-table
729;inode-table
730;inode-table
731;inode-table
732;inode-table
733;inode-table
734;inode-table
735;inode-table
736;inode-table
737;inode-table
738;inode-table
739;inode-table
740;inode-table
741;inode-table
742;inode-table
743;inode-table
744;inode-table
745;inode-table
746;inode-table
747;inode-table
748;inode-table
749;inode-table
750;inode-table
751;inode-table
752;inode-table
753;inode-table
754;inode-table
755;inode-table
756;inode-table
757;inode-table
758;inode-table
759;inode-table
760;inode-table
761;inode-table
762;inode-table
763;inode-table
764;inode-table
765;inode-table
766;inode-table
767;inode-table
768;inode-table
769;inode-table
770;inode-table
771;inode-table
772;inode-table
773;inode-table
774;inode-table
775;inode-table
776;inode-table
777;inode-table
778;inode-table
779;inode-table
780;inode-table
781;inode-table
782;inode-table
783;inode-table
784;inode-table
785;inode-table
786;inode-table
787;inode-table
788;inode-table
789;inode-table
790;inode-table
791;inode-table
792;inode-table
793;inode-table
794;inode-table
795;inode-table
796;inode-table
797;inode-table
798;inode-table
799;inode-table
800;inode-table
801;inode-table
802;inode-table
803;inode-table
804;inode-table
805;inode-table
806;inode-table
807;inode-table
808;inode-table
809;inode-table
810;inode-table
811;inode-table
812;inode-table
813;inode-table
814;inode-table
815;inode-table
816;inode-table
817;inode-table
818;inode-table
819;inode-table
820;inode-table
821;inode-table
822;inode-table
823;inode-table
824;inode-table
825;inode-table
826;inode-table
827;inode-table
828;inode-table
829;inode-table
830;inode-table
831;inode-table
832;inode-table
833;inode-table
834;inode-table
835;inode-table
836;inode-table
837;inode-table
838;inode-table
839;inode-table
840;inode-table
841;inode-table
842;inode-table
843;inode-table
844;inode-table
845;inode-table
846;inode-table
847;inode-table
848;inode-table
849;inode-table
850;inode-table
851;inode-table
852;inode-table
853;inode-table
854;inode-table
855;inode-table
856;inode-table
857;inode-table
858;inode-table
859;inode-table
860;inode-table
861;inode-table
862;inode-table
863;inode-table
864;inode-table
865;inode-table
866;inode-table
867;inode-table
868;inode-table
869;inode-table
870;inode-table
871;inode-table
872;inode-table
873;inode-table
874;inode-table
875;inode-table
876;inode-table
877;inode-table
878;inode-table
879;inode-table
880;inode-table
881;inode-table
882;inode-table
883;inode-table
884;inode-table
885;inode-table
886;inode-table
887;inode-table
888;inode-table
889;inode-table
890;inode-table
891;inode-table
892;inode-table
893;inode-table
894;inode-table
895;inode-table
896;inode-table
897;inode-table
898;inode-table
899;inode-table
900;inode-table
901;inode-table
902;inode-table
903;inode-table
904;inode-table
905;inode-table
906;inode-table
907;inode-table
908;inode-table
909;inode-table
910;inode-table
911;inode-table
912;inode-table
913;inode-table
914;inode-table
915;inode-table
916;inode-table
917;inode-table
918;inode-table
919;inode-table
920;inode-table
921;inode-table
922;inode-table
923;inode-table
924;inode-table
925;inode-table
926;inode-table
927;inode-table
928;inode-table
929;inode-table
930;inode-table
931;inode-table
932;inode-table
933;inode-table
934;inode-table
935;inode-table
936;inode-table
937;inode-table
938;inode-table
939;inode-table
940;inode-table
941;inode-table
942;inode-table
943;inode-table
944;inode-table
945;inode-table
946;inode-table
947;inode-table
948;inode-table
949;inode-table
950;inode-table
951;inode-table
952;inode-table
953;inode-table
954;inode-table
955;inode-table
956;inode-table
957;inode-table
958;inode-table
959;inode-table
960;inode-table
961;inode-table
962;inode-table
963;inode-table
964;inode-table
965;inode-table
966;inode-table
967;inode-table
968;inode-table
969;inode-table
970;inode-table
971;inode-table
972;inode-table
973;inode-table
974;inode-table
975;inode-table
976;inode-table
977;inode-table
978;inode-table
979;inode-table
980;inode-table
981;inode-table
982;inode-table
983;inode-table
984;inode-table
985;inode-table
986;inode-table
987;inode-table
988;inode-table
989;inode-table
990;inode-table
991;inode-table
992;inode-table
993;inode-table
994;inode-table
995;inode-table
996;inode-table
997;inode-table
998;inode-table
999;inode-table
1000;inode-table
1001;inode-table
1002;inode-table
1003;inode-table
1004;inode-table
1005;inode-table
1006;inode-table
1007;inode-table
1008;inode-table
1009;inode-table
1010;inode-table
1011;inode-table
1012;inode-table
1013;inode-table
1014;inode-table
1015;inode-table
1016;inode-table
1017;inode-table
1018;inode-table
1019;inode-table
1020;inode-table
1021;inode-table
1022;inode-table
1023;inode-table
1024;inode-table
1025;inode-table
1026;inode-table
1027;inode-table
1028;inode-table
1029;inode-table
1030;inode-table
1031;inode-table
1032;inode-table
1033;inode-table
1034;inode-table
1035;inode-table
1036;inode-table
1037;inode-table
1038;inode-table
1039;inode-table
1040;inode-table
1041;inode-table
1042;inode-table
1043;inode-table
1044;inode-table
1045;inode-table
1046;inode-table
1047;inode-table
1048;inode-table
1049;inode-table
1050;inode-table
1051;inode-table
1052;inode-table
1053;inode-table
1054;inode-table
1055;inode-table
1056;inode-table
1057;inode-table
1058;inode-table
1059;inode-table
1060;inode-table
1061;inode-table
1062;inode-table
1063;inode-table
1064;inode-table
1065;inode-table
1066;inode-table
1067;inode-table
1068;inode-table
1069;inode-table
1070;inode-table
1071;inode-table
1072;inode-table
1073;inode-table
1074;inode-table
1075;inode-table
1076;inode-table
1077;inode-table
1078;inode-table
1079;inode-table
1080;inode-table
1081;inode-table
1082;inode-table
1083;inode-table
1084;inode-table
1085;inode-table
1086;inode-table
1087;inode-table
1088;inode-table
1089;inode-table
1090;inode-table
1091;inode-table
1092;inode-table
1093;inode-table
1094;inode-table
1095;inode-table
1096;inode-table
1097;inode-table
1098;inode-table
1099;inode-table
1100;inode-table
1101;inode-table
1102;inode-table
1103;inode-table
1104;inode-table
1105;inode-table
1106;inode-table
1107;inode-table
1108;inode-table
1109;inode-table
1110;inode-table
1111;inode-table
1112;inode-table
1113;inode-table
1114;inode-table
1115;inode-table
1116;inode-table
1117;inode-table
1118;inode-table
1119;inode-table
1120;inode-table
1121;inode-table
1122;inode-table
1123;inode-table
1124;inode-table
1125;inode-table
1126;inode-table
1127;inode-table
1128;inode-table
1129;inode-table
1130;inode-table
1131;inode-table
1132;inode-table
1133;inode-table
1134;inode-table
1135;inode-table
1136;inode-table
1137;inode-table
1138;inode-table
1139;inode-table
1140;inode-table
1141;inode-table
1142;inode-table
1143;inode-table
1144;inode-table
1145;inode-table
1146;inode-table
1147;inode-table
1148;inode-table
1149;inode-table
1150;inode-table
1151;inode-table
1152;inode-table
1153;inode-table
1154;inode-table
1155;inode-table
1156;inode-table
1157;inode-table
1158;inode-table
1159;inode-table
1160;inode-table
1161;inode-table
1162;inode-table
1163;inode-table
1164;inode-table
1165;inode-table
1166;inode-table
1167;inode-table
1168;inode-table
1169;inode-table
1170;inode-table
1171;inode-table
1172;inode-table
1173;inode-table
1174;inode-table
1175;inode-table
1176;inode-table
1177;inode-table
1178;inode-table
1179;inode-table
1180;inode-table
1181;inode-table
1182;inode-table
1183;inode-table
1184;inode-table
1185;inode-table
1186;inode-table
1187;inode-table
